# batch-331 (shard-09; 3 cases per file)
# cases: 13910, 13911, 13917

---

## 13910: 法人税更正処分等取消請求事件（東京地方裁判所 2023-12-07）

**主文の要旨**: 江東西税務署長が原告に対してした別紙１処分一覧記載の各処分をいずれも取り消す。

### 事案
原告（内国法人）は、国外関連者であるF社との間で車両用ターボチャージャに係る部品輸出取引、無形資産取引及び役務提供取引を行っていた。江東西税務署長は、これらの国外関連取引について取引単位営業利益法に準ずる方法と同等の方法により独立企業間価格を算定し、平成25年3月期から平成28年3月連結期までの法人税、復興特別法人税及び地方法人税の各更正処分並びに過少申告加算税の賦課決定処分を行った。原告は、税務署長が採用した算定方法は取引単位営業利益法に準ずる方法と同等の方法とはいえないとして、自認額を超える部分の取消しを求めた。

### 争点
- 原審（高裁）の判断内容及び具体的争点は本決定文からは確認できない
- 最高裁の判断を得るには、憲法違反等の上告理由（民訴法312条）又は法令解釈の重要事項（同318条）が必要

---

## 13917: 更正処分取消請求事件（仙台地方裁判所 2023-12-25）

**主文の要旨**: 重加算税の各賦課決定処分のうち過少申告加算税相当額を超える部分を取り消す。その余の請求を棄却する。

### 事案
電気工事業を営む原告は、土木工事業を営むA社に工事を外注し、その外注費を損金算入及び仕入税額控除の対象として申告していた。しかし、原告の従業員（甲ら）とA社代表取締役（戊）が共謀し、実際の工事代金を水増しした架空の外注費を計上していた。仙台北税務署長は、水増し分は役務提供の対価ではなく損金不算入・仕入税額控除否認として更正処分を行い、重加算税を賦課した。原告は、水増し金額の算定誤りや重加算税の要件不充足等を主張して処分の取消しを求めた。

### 争点
- 本件外注費水増し分の金額をどのように算定すべきか
- 水増し分を損金の額に算入できるか（損害賠償請求権との相殺可能性）
- 水増し分について消費税の仕入税額控除が認められるか
- 従業員等の不正行為について通則法70条4項1号（7年の除斥期間）が適用されるか
- 重加算税の賦課要件（隠蔽・仮装行為）を充足するか

### 判断（要旨）
- 本件外注費水増し分の金額は、A社がB名義で計上した架空外注費の金額（消費税控除後）に基づいて算定するのが相当
- 水増し分は役務提供の対価ではないから、損金の額に算入できず、消費税の仕入税額控除も認められない
- 甲らに対する損害賠償請求権について、通常人基準で権利行使が期待できない客観的状況にあったとは認められず、損金算入は否定
- 納税者の補助者・代理人による不正行為であっても、客観的に「偽りその他不正の行為」があれば、納税者自身の意図・指示の有無を問わず通則法70条4項1号が適用される
- 重加算税については、納税者自身による隠蔽・仮装行為の要件を欠くため、過少申告加算税相当額を超える部分は違法

> 納税者の補助者又は代理人によるものであっても、納税者の納税義務の確定手続において客観的に「偽りその他不正の行為により全部又は一部の税額を免れ」たとの事実がある場合には、納税者自身が具体的な偽りその他不正の行為を意図し、又は指示したか否かを問うことなく、通則法７０条４項１号が適用されるものと解するのが相当である。

### 実務メモ
- 従業員等の不正行為による架空経費計上について、更正の除斥期間（7年）と重加算税で異なる判断基準が適用された事例
- 除斥期間延長（通則法70条4項1号）は客観的な不正行為の存在で足りるが、重加算税は納税者自身の隠蔽・仮装行為を要する
- 従業員の不正を発見できなかった場合でも、損害賠償請求権の行使可能性は通常人基準で判断され、損金算入は容易に認められない
- 架空外注費は消費税法上の「課税仕入れ」（役務提供の対価）に該当せず、仕入税額控除は否認される

---
