# batch-323 (shard-09; 3 cases per file)
# cases: 13844, 13845, 13847

---

## 13844: 所得税更正処分等取消請求事件（東京地方裁判所 2023-04-21）

**主文の要旨**: 原告らの請求をいずれも棄却する。

### 事案
被相続人Ａの相続人である原告らが、Ａの平成27年分所得税等の準確定申告をしたところ、処分行政庁から、Ａが生前に行った取引相場のない株式の低額譲渡（所得税法59条1項適用）に係る譲渡所得の金額に誤りがあるとして更正処分及び過少申告加算税の賦課決定処分を受けた。原告らは、株式の譲渡時価額（1株当たり純資産価額）の計算上、互助会契約に係る既払掛金対応債務及び引当金を負債として控除すべきと主張し、処分の一部取消しを求めた。

### 争点
- 「所得税賦課の対象でないことが明らか」とはいえず、控訴人の主張は前提において理由がない

> 「渡航費等」の名目で支払われる金員についても、課税の公平の見地等から、一旦は源泉徴収の対象とし、後日確定申告を通じた還付制度によって純所得課税を受ける制度を法が予定している以上、外国事業者はそれを甘受すべきである。

### 実務メモ
- 外国芸能法人等への支払は、出演料と渡航費等を区分していても、全額が源泉徴収の対象となりうる
- 経費相当額の還付は、外国事業者自身が確定申告で行う仕組み
- 支払者側で「これは経費だから源泉不要」と判断することは許されない
- 外国事業者との契約時に、源泉徴収後の手取額を前提とした報酬設計が実務上重要

---

## 13847: 法人税額等の更正処分等取消請求控訴事件（東京高等裁判所 2023-04-27）

**主文の要旨**: 本件控訴を棄却する。

### 事案
非営利型一般財団法人である控訴人が、法人税等の更正処分及び過少申告加算税の賦課決定処分を受け、その取消しを求めた事案の控訴審。控訴人は、平成20年税制改正により非営利型法人の非収益事業からの利子・配当等に源泉所得税が課税され法人税額から控除できなくなったことの違憲性、関係者への金銭貸付が収益事業に該当しないこと、税務調査手続の違法等を主張した。

### 争点
- 平成20年税制改正（非営利型法人への源泉所得税課税・法人税額控除否定）の違憲性
- 控訴人の金銭貸付が法人税法上の収益事業（金銭貸付業）に該当するか
- 税務調査の事前通知手続の適法性（税務代理権の授与に瑕疵があったとの主張）
- 従前の税務処理が長年認められてきたことを理由とする信頼保護の可否

### 判断（要旨）
- 法人税法68条1項の所得税額控除は、同一課税主体による二重課税排除の趣旨であり、法人税が課されない利子・配当等について源泉徴収された所得税は控除対象外
- 税制改正により控訴人の事業が立ち行かなくなることを認める証拠はなく、財産権・営業の自由の侵害とはいえない
- 税務代理権限証書により税理士に税務代理権が授与されており、補助者である税理士への事前通知は適法
- 仮に内部的瑕疵があっても、調査手続の透明性・納税者の予見可能性を高める事前通知の趣旨に反しない
- 更正の請求に対する調査では、請求内容に必要な範囲の調査で足り、従前の処理を是認したものとはいえない

> 法人税法68条1項が所得税額控除の制度を定めたのは、同一課税主体による二重課税を排除する趣旨であると解され、法人税が課されない利子及び配当等について所得税が源泉徴収された場合には、当該所得税の額は法人税の額から控除することはできない。

### 実務メモ
- 非営利型一般財団法人の非収益事業からの利子・配当等は、源泉所得税が課税され法人税額から控除不可
- 長年の税務処理が是認されていたとしても、更正の請求への対応は請求内容に限定した調査で足りる
- 税務代理権限証書を提出している場合、補助者への事前通知も適法と解される
- 公益法人等の法人形態選択にあたっては、源泉所得税の取扱いを含めた税務上の影響を検討すべき

---
