# batch-215

---

## 12926: 租税法律主義違反並びに国税不服審判決定取消請求事件

**金沢地方裁判所 平成28年10月27日判決 | 却下**

### 結論
   - 乙ら原告関係者は国税局調査において本件各取引が架空であることを認めた
   - 本件売上取引の対象物の引渡し量等について取り決めがなく不自然
   - 請求書が尾数単位から重量単位に書き換えられた
   - 本件仕入取引に係る債務について約2年9か月間一切履行せず、猶予を求めたこともない
   - Bから債務残高0円との回答を受けても問い合わせをしていない

3. **争点1（益金算入）について**
   - 本件金員は何らの取引関係に基づかず無償で得たもの
   - **「無償による資産の譲受け」として益金算入すべき**

4. **争点2（重加算税）・争点3（青色申告取消）について**
   - 原告関係者は本件各取引が架空であることを認識していた
   - 帳簿書類に取引を隠蔽又は仮装して記載した
   - **重加算税・青色申告取消処分の要件を満たす**

5. **争点4（租税公平主義）について**
   - 法の適用に違法がなく適法であれば、租税公平主義に反したとはいえない
   - **原告の主張は悪平等を求めるものであり失当**

### 条文・通達の解説
- **法人税法22条2項**：益金の額に算入すべき金額として「無償による資産の譲受け」を含む
- **法人税法127条1項3号**：帳簿書類に取引を隠蔽・仮装して記載した場合の青色申告承認取消事由
- **国税通則法68条1項**：重加算税の賦課要件（事実の隠蔽又は仮装）

---

## 12938: 所得税更正処分及び過少申告加算税賦課決定処分取消請求事件

**佐賀地方裁判所 平成28年11月29日判決 | 棄却**

### 結論
- 原告の請求をいずれも棄却
- 訴訟費用は原告の負担

### 事案の概要
**当事者関係**
- 原告：内科等の診療所「A」を経営する医師
- 有限会社B：原告の妻が代表取締役を務める同族会社（不動産賃貸業）
- 原告一家がBの発行済株式60株全てを所有

**経緯**
1. 平成11年1月、原告が本件土地上に診療所を新築し「A」を開設
2. 平成11年7月1日、原告がBに本件各不動産を4900万円で売却
3. 同日、原告がBから本件各不動産を賃料月額60万円で賃借
4. その後賃料は増額され、平成20年5月以降は月額105万円
5. 佐賀税務署長は、賃料が著しく高額として所得税法157条1項を適用し更正処分等を実施

**金額等**
- 本件診療所の延床面積：101.54㎡
- 本件駐車場：4台分
- 本件各賃料：平成20年分1240万円、平成21年・22年分各1260万円
- 適正賃料（本件指示による算出）：平成20年分約231万円、平成21・22年分約232万円

### 争点
1. 類似物件選定基準の合理性（争点1）
2. 適正賃料算出過程の合理性（争点2）
3. 更正等通知書の理由附記に不備があるか（争点3）

### 裁判所の判断
1. **所得税法157条1項の趣旨**
   - 同族会社が少数の株主により支配されているため、税負担を不当に減少させる行為が行われやすい
   - 税負担の公平を維持するため、同族会社の行為等を否認し、通常の行為等に引き直して計算する権限を税務署長に認めるもの

2. **類似物件選定基準の合理性について**
   - 本件指示における選定基準は以下の点で合理的
     - 半径500m以内の地域（場所的類似性）
     - 事業用建物（用途の類似性）
     - 一戸建て（構造の類似性）
     - 床面積倍半基準（規模の類似性）
     - 固定資産税評価額倍半基準（建築費・築年数の類似性）
   - 原告の主張（診療所に限定すべき、土地にも評価額倍半基準を設けるべき等）はいずれも採用できない

3. **適正賃料算出過程の合理性について**
   - 選定基準が合理的かつ適正で、恣意の介在が認められなければ、抽出物件数が少なくても適正賃料といえる
   - 原告の独自調査は主観的根拠によるものであり信用できない
   - 余剰スペースは敷地使用権の対価として既に評価されている

4. **適正賃料との比較**
   - 本件各賃料（年1240万～1260万円）は適正賃料（年約231万円）の約5倍
   - **著しく高額であり、同族会社の行為として所得税の負担を不当に減少させるもの**

5. **理由附記について**
   - 比準物件の選定基準が具体的に記載されており、理由附記として十分
   - 類似物件の所在地・延床面積を明らかにしなくても違法ではない（守秘義務との抵触等の弊害）

### 条文・通達の解説
- **所得税法157条1項**：同族会社等の行為又は計算の否認規定。同族会社との取引において、所得税の負担を不当に減少させる結果となると認められる場合、税務署長がその行為・計算を否認できる
- **所得税法155条2項**：青色申告に係る更正の場合の理由附記義務を定める規定
- **国税通則法65条**：過少申告加算税の賦課要件を定める規定

---
