# batch-322 (shard-09; 3 cases per file)
# cases: 13832, 13836, 13840

---

## 13832: 法人税更正処分等取消請求事件（東京地方裁判所 2023-03-16）

**主文の要旨**: 原告の請求をいずれも棄却する。

### 事案
内国法人である原告は、シンガポール所在の外国法人（E社）の株式50％を保有していた。原告は、E社が外国子会社合算税制（措置法66条の6）の適用対象となる特定外国子会社等に該当しないとして法人税等の確定申告を行ったが、麹町税務署長は、原告の親族である非居住者（乙）が「特殊関係非居住者」に該当し、その保有株式を合算するとE社は特定外国子会社等に該当するとして、平成26年1月期から平成29年1月期の法人税・復興特別法人税・地方法人税の各更正処分及び過少申告加算税の賦課決定処分を行った。

### 争点
奨学・育英等を目的とする一般財団法人である原告は、非営利型法人（法人税法2条9号の2）に該当する。原告は、令和2年3月期の法人税確定申告後、受取利子・配当等について源泉徴収された所得税額を法人税額から控除し、控除しきれない金額の還付を求める更正の請求をしたが、鹿児島税務署長から更正をすべき理由がない旨の通知処分を受けた。原告は、所得税法11条1項・別表第1が非営利型法人を非課税対象から除外していることは憲法14条1項（平等原則）及び29条（財産権保障）に違反すると主張した。

### 争点
- 本件通知処分の適法性（所得税法11条1項の適用可否）
- 所得税法11条1項・別表第1の憲法14条1項・29条違反の有無
- 更正処分の義務付けの訴えの適法性

### 判断（要旨）
- 原告は非営利型法人であり公益法人ではないから、所得税法別表第1に掲げる内国法人に該当せず、同法11条1項（利子・配当等の非課税）は適用されない
- 租税法の取扱いの区別は、立法目的が正当であり、区別の態様が同目的との関連で著しく不合理でない限り、憲法14条1項に違反しない
- 公益性の高い法人の利子・配当等を非課税とし、そうでない法人には課税して適正な課税を図るという立法目的は正当であり、著しく不合理とはいえない
- 所得税の課税によって原告の存続が危うくなっていることを認める証拠はなく、財産権侵害の主張も認められない
- 通知処分が適法である以上、義務付けの訴えは行政事件訴訟法37条の3第1項2号の要件を欠き不適法

> 公益法人ではない原告に所得税法１１条を適用ないし準用する余地はなく、また、法人税法７条は、非営利型法人を含む公益法人等の収益事業から生じた所得以外の所得に対して法人税を課さない旨を定めるものであり、所得税法の規定によって源泉徴収の対象となる所得に対する非課税を定めるものではない。

### 実務メモ
- 非営利型法人は法人税法上の公益法人等に該当するが、所得税法上の利子・配当等非課税の対象となる法人（別表第1）には含まれない
- 公益認定を受けていない一般社団・財団法人が利子・配当等の非課税措置を受けるには、公益認定を取得する必要がある
- 租税法における取扱いの区別は、立法裁量が広く認められており、違憲主張が認められるハードルは高い

---
