doc_id	jurisdiction	source_url	source_basename	is_synth	file
finland--synthesizedtextforjapan-finland2-jp	Finland	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/SynthesizedTextforJapan_Finland2_JP.pdf	SynthesizedTextforJapan_Finland2_JP.pdf	True	source/raw/finland--synthesizedtextforjapan-finland2-jp.pdf
finland--finland1991-p-jp-en	Finland	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/Finland1991_P_jp_en.pdf	Finland1991_P_jp_en.pdf	False	source/raw/finland--finland1991-p-jp-en.pdf
france--france1995-jp-fr	France	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/France1995_jp_fr.pdf	France1995_jp_fr.pdf	False	source/raw/france--france1995-jp-fr.pdf
france--synthesizedtextforjapan-france-jp	France	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/SynthesizedTextforJapan_France_JP.pdf	SynthesizedTextforJapan_France_JP.pdf	True	source/raw/france--synthesizedtextforjapan-france-jp.pdf
germany--synthesizedtextforjapan-germany-jp	Germany	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/SynthesizedTextforJapan_Germany_JP.pdf	SynthesizedTextforJapan_Germany_JP.pdf	True	source/raw/germany--synthesizedtextforjapan-germany-jp.pdf
hong-kong--hongkong2012-en-jp-en	Hong Kong	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/HongKong2012_EN_jp_en.pdf	HongKong2012_EN_jp_en.pdf	False	source/raw/hong-kong--hongkong2012-en-jp-en.pdf
hong-kong--synthesizedtextforjapan-hongkong-jp	Hong Kong	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/SynthesizedTextforJapan_HongKong_JP.pdf	SynthesizedTextforJapan_HongKong_JP.pdf	True	source/raw/hong-kong--synthesizedtextforjapan-hongkong-jp.pdf
india--india1989-jp-en	India	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/India1989_jp_en.pdf	India1989_jp_en.pdf	False	source/raw/india--india1989-jp-en.pdf
india--india1989-en-jp-en	India	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/India1989_EN_jp_en.pdf	India1989_EN_jp_en.pdf	False	source/raw/india--india1989-en-jp-en.pdf
india--india-text-rev-jpn	India	http://www.mof.go.jp/tax_policy/summary/international/tax_convention/india.text.rev.jpn.pdf	india.text.rev.jpn.pdf	False	source/raw/india--india-text-rev-jpn.pdf
indonesia--indonesia1982-jp-en	Indonesia	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/Indonesia1982_jp_en.pdf	Indonesia1982_jp_en.pdf	False	source/raw/indonesia--indonesia1982-jp-en.pdf
indonesia--indonesia1982-en-jp-en	Indonesia	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/Indonesia1982_EN_jp_en.pdf	Indonesia1982_EN_jp_en.pdf	False	source/raw/indonesia--indonesia1982-en-jp-en.pdf
indonesia--synthesizedtextforjapan-indonesia-jp	Indonesia	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/SynthesizedTextforJapan_Indonesia_JP.pdf	SynthesizedTextforJapan_Indonesia_JP.pdf	True	source/raw/indonesia--synthesizedtextforjapan-indonesia-jp.pdf
ireland--ireland1974-jp-en	Ireland	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/Ireland1974_jp_en.pdf	Ireland1974_jp_en.pdf	False	source/raw/ireland--ireland1974-jp-en.pdf
ireland--ireland1974-en-jp-en	Ireland	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/Ireland1974_EN_jp_en.pdf	Ireland1974_EN_jp_en.pdf	False	source/raw/ireland--ireland1974-en-jp-en.pdf
ireland--synthesizedtextforjapan-ireland-jp	Ireland	http://www.mof.go.jp/tax_policy/summary/international/press_release/SynthesizedTextforJapan_Ireland_JP.pdf	SynthesizedTextforJapan_Ireland_JP.pdf	True	source/raw/ireland--synthesizedtextforjapan-ireland-jp.pdf
italy--italy1969-jp-en	Italy	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/Italy1969_jp_en.pdf	Italy1969_jp_en.pdf	False	source/raw/italy--italy1969-jp-en.pdf
italy--italy1969-en-jp-en	Italy	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/Italy1969_EN_jp_en.pdf	Italy1969_EN_jp_en.pdf	False	source/raw/italy--italy1969-en-jp-en.pdf
italy--italy-st-jp	Italy	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/Italy_ST_jp.pdf	Italy_ST_jp.pdf	True	source/raw/italy--italy-st-jp.pdf
italy--italy1980-p-jp-en	Italy	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/Italy1980_P_jp_en.pdf	Italy1980_P_jp_en.pdf	False	source/raw/italy--italy1980-p-jp-en.pdf
korea--korea1998-jp-en	Korea	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/Korea1998_jp_en.pdf	Korea1998_jp_en.pdf	False	source/raw/korea--korea1998-jp-en.pdf
korea--200710kor-j	Korea	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/200710kor_j.pdf	200710kor_j.pdf	False	source/raw/korea--200710kor-j.pdf
kuwait--sy220217ku-a	Kuwait	https://www.mof.go.jp/tax_policy/summary/international/press_release/sy220217ku_a.pdf	sy220217ku_a.pdf	False	source/raw/kuwait--sy220217ku-a.pdf
malaysia--malaysia1999-jp-en	Malaysia	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/Malaysia1999_jp_en.pdf	Malaysia1999_jp_en.pdf	False	source/raw/malaysia--malaysia1999-jp-en.pdf
malaysia--synthesizedtextforjapan-malaysia-jp	Malaysia	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/SynthesizedTextforJapan_Malaysia_JP.pdf	SynthesizedTextforJapan_Malaysia_JP.pdf	True	source/raw/malaysia--synthesizedtextforjapan-malaysia-jp.pdf
mexico--mexico1996-jp-en	Mexico	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/Mexico1996_jp_en.pdf	Mexico1996_jp_en.pdf	False	source/raw/mexico--mexico1996-jp-en.pdf
mexico--synthesizedtextforjapan-mexico-jp	Mexico	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/SynthesizedTextforJapan_Mexico_JP.pdf	SynthesizedTextforJapan_Mexico_JP.pdf	True	source/raw/mexico--synthesizedtextforjapan-mexico-jp.pdf
netherlands--netherland2012-en-jp-en	Netherlands	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/Netherland2012_EN_jp_en.pdf	Netherland2012_EN_jp_en.pdf	False	source/raw/netherlands--netherland2012-en-jp-en.pdf
netherlands--synthesisedtextforjapan-netherlands-jp	Netherlands	http://www.mof.go.jp/tax_policy/summary/international/press_release/SynthesisedTextforJapan-Netherlands_JP.pdf	SynthesisedTextforJapan-Netherlands_JP.pdf	True	source/raw/netherlands--synthesisedtextforjapan-netherlands-jp.pdf
new-zealand--synthesizedtextforjapan-newzealand-jp	New Zealand	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/SynthesizedTextforJapan_NewZealand_JP.pdf	SynthesizedTextforJapan_NewZealand_JP.pdf	True	source/raw/new-zealand--synthesizedtextforjapan-newzealand-jp.pdf
norway--norway1992-jp-en	Norway	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/Norway1992_jp_en.pdf	Norway1992_jp_en.pdf	False	source/raw/norway--norway1992-jp-en.pdf
norway--norway1992-en-jp-en	Norway	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/Norway1992_EN_jp_en.pdf	Norway1992_EN_jp_en.pdf	False	source/raw/norway--norway1992-en-jp-en.pdf
norway--190927norway-j	Norway	http://www.mof.go.jp/tax_policy/summary/international/tax_convention/190927norway_j.pdf	190927norway_j.pdf	False	source/raw/norway--190927norway-j.pdf
philippines--philippines1980-jp-en	Philippines	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/Philippines1980_jp_en.pdf	Philippines1980_jp_en.pdf	False	source/raw/philippines--philippines1980-jp-en.pdf
philippines--philippines1980-en-jp-en	Philippines	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/Philippines1980_EN_jp_en.pdf	Philippines1980_EN_jp_en.pdf	False	source/raw/philippines--philippines1980-en-jp-en.pdf
philippines--philippines-st-jp	Philippines	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/Philippines_ST_jp.pdf	Philippines_ST_jp.pdf	True	source/raw/philippines--philippines-st-jp.pdf
qatar--200221qat-j	Qatar	http://www.mof.go.jp/tax_policy/summary/international/tax_convention/200221qat_j.pdf	200221qat_j.pdf	False	source/raw/qatar--200221qat-j.pdf
russia--20170907ru-a	Russia	http://www.mof.go.jp/tax_policy/summary/international/press_release/20170907ru_a.pdf	20170907ru_a.pdf	False	source/raw/russia--20170907ru-a.pdf
saudi-arabia--saudiarabia2013-en-jp-en	Saudi Arabia	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/SaudiArabia2013_EN_jp_en.pdf	SaudiArabia2013_EN_jp_en.pdf	False	source/raw/saudi-arabia--saudiarabia2013-en-jp-en.pdf
saudi-arabia--synthesizedtextforjapan-saudiarabia-jp	Saudi Arabia	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/SynthesizedTextforJapan_SaudiArabia_JP.pdf	SynthesizedTextforJapan_SaudiArabia_JP.pdf	True	source/raw/saudi-arabia--synthesizedtextforjapan-saudiarabia-jp.pdf
singapore--singapore1994-jp-en	Singapore	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/Singapore1994_jp_en.pdf	Singapore1994_jp_en.pdf	False	source/raw/singapore--singapore1994-jp-en.pdf
singapore--singapore1994-en-jp-en	Singapore	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/Singapore1994_EN_jp_en.pdf	Singapore1994_EN_jp_en.pdf	False	source/raw/singapore--singapore1994-en-jp-en.pdf
singapore--synthesizedtextforjapan-singaporejp	Singapore	http://www.mof.go.jp/tax_policy/summary/international/press_release/SynthesizedTextforJapan-SingaporeJP.pdf	SynthesizedTextforJapan-SingaporeJP.pdf	True	source/raw/singapore--synthesizedtextforjapan-singaporejp.pdf
singapore--singapore2010-p-jp	Singapore	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/Singapore2010_P_jp.pdf	Singapore2010_P_jp.pdf	False	source/raw/singapore--singapore2010-p-jp.pdf
south-africa--southafrica1997-jp-en	South Africa	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/SouthAfrica1997_jp_en.pdf	SouthAfrica1997_jp_en.pdf	False	source/raw/south-africa--southafrica1997-jp-en.pdf
south-africa--sourhafrica1997-en-jp-en	South Africa	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/SourhAfrica1997_EN_jp_en.pdf	SourhAfrica1997_EN_jp_en.pdf	False	source/raw/south-africa--sourhafrica1997-en-jp-en.pdf
south-africa--synthesizedtextforjapan-southafrica-jp	South Africa	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/SynthesizedTextforJapan_SouthAfrica_JP.pdf	SynthesizedTextforJapan_SouthAfrica_JP.pdf	True	source/raw/south-africa--synthesizedtextforjapan-southafrica-jp.pdf
spain--20210215spa-j	Spain	https://www.mof.go.jp/tax_policy/summary/international/20210215Spa_j.pdf	20210215Spa_j.pdf	False	source/raw/spain--20210215spa-j.pdf
sweden--sweden1983-jp-en	Sweden	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/Sweden1983_jp_en.pdf	Sweden1983_jp_en.pdf	False	source/raw/sweden--sweden1983-jp-en.pdf
sweden--sweden1983-en-jp-en	Sweden	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/Sweden1983_EN_jp_en.pdf	Sweden1983_EN_jp_en.pdf	False	source/raw/sweden--sweden1983-en-jp-en.pdf
sweden--synthesizedtextforjapan-swedenjp	Sweden	http://www.mof.go.jp/tax_policy/summary/international/press_release/SynthesizedTextforJapan-SwedenJP.pdf	SynthesizedTextforJapan-SwedenJP.pdf	True	source/raw/sweden--synthesizedtextforjapan-swedenjp.pdf
sweden--sweden1999-p-jp-en	Sweden	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/Sweden1999_P_jp_en.pdf	Sweden1999_P_jp_en.pdf	False	source/raw/sweden--sweden1999-p-jp-en.pdf
switzerland--switzerland1971-jp-en	Switzerland	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/Switzerland1971_jp_en.pdf	Switzerland1971_jp_en.pdf	False	source/raw/switzerland--switzerland1971-jp-en.pdf
switzerland--switzerland-st-jp	Switzerland	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/Switzerland_ST_jp.pdf	Switzerland_ST_jp.pdf	True	source/raw/switzerland--switzerland-st-jp.pdf
switzerland--switzerland2012-en-jp	Switzerland	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/Switzerland2012_EN_jp.pdf	Switzerland2012_EN_jp.pdf	False	source/raw/switzerland--switzerland2012-en-jp.pdf
switzerland--switzerland2012-en-jp-en	Switzerland	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/Switzerland2012_EN_jp_en.pdf	Switzerland2012_EN_jp_en.pdf	False	source/raw/switzerland--switzerland2012-en-jp-en.pdf
switzerland--switzerland2012-en-eoi-jp-en	Switzerland	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/Switzerland2012_EN_EOI_jp_en.pdf	Switzerland2012_EN_EOI_jp_en.pdf	False	source/raw/switzerland--switzerland2012-en-eoi-jp-en.pdf
thailand--thailand1990-jp-en	Thailand	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/Thailand1990_jp_en.pdf	Thailand1990_jp_en.pdf	False	source/raw/thailand--thailand1990-jp-en.pdf
thailand--synthesizedtextforjapan-thailand-jp	Thailand	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/SynthesizedTextforJapan_Thailand_JP.pdf	SynthesizedTextforJapan_Thailand_JP.pdf	True	source/raw/thailand--synthesizedtextforjapan-thailand-jp.pdf
united-arab-emirates--250502ae-a	United Arab Emirates	https://www.mof.go.jp/tax_policy/summary/international/press_release/250502ae_a.pdf	250502ae_a.pdf	False	source/raw/united-arab-emirates--250502ae-a.pdf
united-arab-emirates--20141125ae-c	United Arab Emirates	http://www.mof.go.jp/tax_policy/summary/international/press_release/20141125ae_c.pdf	20141125ae_c.pdf	False	source/raw/united-arab-emirates--20141125ae-c.pdf
united-arab-emirates--20190716	United Arab Emirates	http://www.mof.go.jp/tax_policy/summary/international/press_release/20190716.pdf	20190716.pdf	False	source/raw/united-arab-emirates--20190716.pdf
united-kingdom--synthesizedtextforjapan-unitedkingdom-jp	United Kingdom	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/SynthesizedTextforJapan_UnitedKingdom_JP.pdf	SynthesizedTextforJapan_UnitedKingdom_JP.pdf	True	source/raw/united-kingdom--synthesizedtextforjapan-unitedkingdom-jp.pdf
united-states--usa-st-jp	United States	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/USA_ST_jp.pdf	USA_ST_jp.pdf	True	source/raw/united-states--usa-st-jp.pdf
viet-nam--vietnam1995-jp-en	Viet Nam	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/Vietnam1995_jp_en.pdf	Vietnam1995_jp_en.pdf	False	source/raw/viet-nam--vietnam1995-jp-en.pdf
viet-nam--vietnam2014-en-jp-en	Viet Nam	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/Vietnam2014_EN_jp_en.pdf	Vietnam2014_EN_jp_en.pdf	False	source/raw/viet-nam--vietnam2014-en-jp-en.pdf
viet-nam--synthesizedtextforjapan-vietnam-jp	Viet Nam	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/SynthesizedTextforJapan_VietNam_JP.pdf	SynthesizedTextforJapan_VietNam_JP.pdf	True	source/raw/viet-nam--synthesizedtextforjapan-vietnam-jp.pdf
